Change component parameters: Designator = "ANT2" ("ANT2"); Footprint = "CAPC3216X13N"; UniqueID = "\REYXIXWZ" ("\REYXIXWZ")
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/johanson-technology-inc/201R07S4R7AV4T/9658851"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "High Q, Low Loss, Ultra Low ESR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C1569"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "2/9/2024 8:04:23 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FH (Guangdong Fenghua Advanced Tech)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "0402CG4R7C500NT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "201R07S4R7AV4T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "45674"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.040" L x 0.020" W (1.02mm x 0.51mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "712-1682-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "C0G, NP0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.024" (0.61mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±0.05pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "value"; Value = "4.7 pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "200V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C30" ("C30"); Footprint = "CAP 0402_1005"; UniqueID = "\ZZNAXUAZ" ("\ZZNAXUAZ")
Change component parameters (AddParameter): Name = "Applications"; Value = "Boardflex Sensitive"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "0.47 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf?ref_disty=digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/tdk-corporation/C1005X5R1V474K050BE/7907744"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Soft Termination"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C77003"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "2/9/2024 8:04:38 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "GRM155R61A474KE15D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "C1005X5R1V474K050BE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "1797"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-175220-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.024" (0.60mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "value"; Value = "0.47 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C31" ("C31"); Footprint = "MURATA GRM155 0402_1005"; UniqueID = "\XUGENBCE" ("\XUGENBCE")
Change component parameters (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155C71A105KE11-01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/murata-electronics/GRM155C71A105KE11D/6606086"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C15684"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "8/27/2024 12:42:54 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "GRM155R60J105KE19D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "GRM155C71A105KE11D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "1749"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "GRM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "490-14457-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.024" (0.60mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "value"; Value = "1 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C32" ("C32"); Footprint = "CAP 0402_1005"; UniqueID = "\LGHSMWEF" ("\LGHSMWEF")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C15525"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samsung Electro-Mechanics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "CL05A106MQ5NUNC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CL05A106MP8NUB8"; VariantName = "[No Variations]"
Change component parameters: Designator = "D2" ("D2"); Footprint = "FP-MSL0402-MFG"; UniqueID = "\TTXRTLCX" ("\TTXRTLCX")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Colour"; Value = "Blue, Green, Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_multi/msl0402rgb-e.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "LEDs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "LED RGB DIFFUSED 1816 SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "3.3/3.5/2.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C2898980"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Led Orientation"; Value = "Top View"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Luminous Intensity"; Value = "180/550/400mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ROHM Semicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MSL0402RGBU1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "MSL0402RGBU1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/msl0402rgbu1-rohm-74168054"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "MSL0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "180mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength"; Value = "470/527/624nm"; VariantName = "[No Variations]"
Change component parameters: Designator = "FPC1" ("FPC1"); Footprint = "FPC-SMD_AFC04-S08ECA-00"; UniqueID = "\SZKFKXXU" ("\SZKFKXXU")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Contact,Top"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20201020/C883635_E94301B494140F0FE9C86E243B1AABF7.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "AFC04-S08ECA-00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FFC, FCB Thickness"; Value = "0.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Above Board"; Value = "1.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C883637"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "??:0.5mm P?:8P ??? ??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Locking Feature"; Value = "???"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "JUSHUO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "AFC04-S08ECA-00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "AFC04-S08ECA-00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "8P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-25?~+85?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD,P=0.5mm,??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C883637"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "AFC04-S08ECA-00"; VariantName = "[No Variations]"
Change component parameters: Designator = "FPC2" ("FPC2"); Footprint = "FPC-SMD_FH12-12S-0.5SH-55"; UniqueID = "\JPEUBMRB" ("\JPEUBMRB")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Phosphor Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Bottom Contact"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/FH12-12S-0.5SH(55)/89539.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FFC, FCB Thickness"; Value = "0.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Above Board"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C88360"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "??:0.5mm P?:12P ??? ??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Locking Feature"; Value = "Hinged Lid"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "HRS(Hirose)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "12P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40?~+85?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD,P=0.5mm,??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C88360"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Change component parameters: Designator = "L2" ("L2"); Footprint = "IND 0402_1005"; UniqueID = "\KCIERGUA" ("\KCIERGUA")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "//media.digikey.com/pdf/Data%20Sheets/AVX%20PDFs/MLO%20High%20Current%20Inductors.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/avx-corporation/HLC022R0BTTR/478-7195-1-ND/3528423"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "596mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "180mOhm Max"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Self Resonant"; Value = "17GHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.018" (0.45mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "2nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Frequency - Test"; Value = "450MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C6604692"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "9/2/2020 1:24:25 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AVX Corporation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Core"; Value = "Non-Magnetic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "W25Q64JWUUIQ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HLC022R0BTTR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "1747"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Q @ Freq"; Value = "26 @ 450MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "MLO™"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.023" W (1.00mm x 0.58mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "478-7195-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±0.1nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Multilayer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2nH"; VariantName = "[No Variations]"
Change component parameters: Designator = "L3" ("L3"); Footprint = "IND 0402_1005 RF WW"; UniqueID = "\JEIAQAIE" ("\JEIAQAIE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://katalog.we-online.de/pbs/datasheet/744765027A.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/würth-elektronik/744765027A/1994078"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "640 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "120mOhm Max"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Self Resonant"; Value = "6GHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.024" (0.60mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "2.7 nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Frequency - Test"; Value = "250 MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C142182"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 8:03:31 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Chilisin Elec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Core"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "CS0402-2N7B-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "744765027A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "680"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.27"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Q @ Freq"; Value = "16 @ 250MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "WE-KI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.022" W (1.00mm x 0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "732-1708-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±0.2nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Drum Core, Wirewound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2.7 nH"; VariantName = "[No Variations]"
Change component parameters: Designator = "L4" ("L4"); Footprint = "Murata LQW15 0402"; UniqueID = "\KPDITSPK" ("\KPDITSPK")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/murata-electronics/LQW15AN8N2J8ZD/6799017"; VariantName = "[No Variations]"
